"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","0 units","16 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$0.408 hourly","$0.257 hourly","$0.134300 hourly","$0.134300 hourly","$0.538 hourly","$0.387 hourly","$0.264300 hourly","$0.264300 hourly","$0.558 hourly","$0.317 hourly","$0.284300 hourly","$0.284300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Medium","t2.medium","4.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","18","3","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0464 hourly","$0.0287 hourly","$0.013900 hourly","$0.021400 hourly","$0.1414 hourly","$0.1207 hourly","$0.073900 hourly","$0.081400 hourly","$0.1464 hourly","$0.0617 hourly","$0.113900 hourly","$0.121400 hourly","$0.0644 hourly","$0.0467 hourly","$0.031900 hourly","$0.035600 hourly","$0.1358 hourly","$0.1181 hourly","unavailable","unavailable","unavailable","unavailable","$0.114 hourly","$0.0963 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T4G Double Extra Large","t4g.2xlarge","32.0 GiB","0 units","8 vCPUs                                                         for a                   9h 36m                   burst","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","3475.0 Mbps","434.37 Mbps","15700.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.2688 hourly","$0.1686 hourly","$0.080600 hourly","$0.080600 hourly","$0.4338 hourly","$0.3306 hourly","$0.210600 hourly","$0.210600 hourly","$0.4188 hourly","$0.2286 hourly","$0.230600 hourly","$0.230600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","1","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$1.372 hourly","$0.8644 hourly","$0.411600 hourly","$0.411600 hourly","$1.537 hourly","$1.0264 hourly","$0.541600 hourly","$0.541600 hourly","$1.522 hourly","$0.9244 hourly","$0.561600 hourly","$0.561600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","35 units","16 vCPUs","7.31 GiB/vCPU","0","None","0 GiB","0","0","2.188 units","Intel Xeon E5-2650","2 GHz","unknown","unknown","unknown","unknown","48000 GB                 (24 * 2000 GB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 Mbps","0 IOPS","No","240","8","No","No","No","No","HVM, PV","Yes","","$4.6 hourly","unavailable","unavailable","unavailable","$4.73 hourly","unavailable","unavailable","unavailable","$4.7 hourly","unavailable","unavailable","unavailable","$4.931 hourly","unavailable","unavailable","unavailable","$5.144 hourly","unavailable","$8.35 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"U-18TB1 Metal","u-18tb1.metal","18432.0 GiB","0 units","448 vCPUs","41.14 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8280L (Cascade Lake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","38000.0 Mbps","4750.0 Mbps","160000.0 IOPS","No","750","15","No","Yes","Yes","No","Unknown","No","","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T1 Micro","t1.micro","0.613 GiB","Burstable","1 vCPUs","0.61 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Variable","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 Mbps","0 IOPS","No","4","2","No","No","No","No","PV","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.02 hourly","$0.014 hourly","$0.002000 hourly","$0.002000 hourly","$0.08 hourly","$0.074 hourly","$0.062000 hourly","$0.062000 hourly","$0.03 hourly","$0.022 hourly","$0.012000 hourly","$0.012000 hourly","$0.02 hourly","$0.015 hourly","$0.002000 hourly","$0.002000 hourly","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6GD Large","r6gd.large","16.0 GiB","0 units","2 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","118 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.1152 hourly","$0.0726 hourly","$0.037400 hourly","$0.037400 hourly","$0.2102 hourly","$0.1646 hourly","$0.097400 hourly","$0.097400 hourly","$0.1782 hourly","$0.0976 hourly","$0.100400 hourly","$0.100400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T4G Extra Large","t4g.xlarge","16.0 GiB","0 units","4 vCPUs                                                         for a                   9h 36m                   burst","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","3475.0 Mbps","434.37 Mbps","15700.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.1344 hourly","$0.0843 hourly","$0.040300 hourly","$0.040300 hourly","$0.2294 hourly","$0.1763 hourly","$0.100300 hourly","$0.100300 hourly","$0.2594 hourly","$0.1343 hourly","$0.165300 hourly","$0.165300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","0 units","4 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","237 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.1536 hourly","$0.0968 hourly","$0.068000 hourly","$0.068000 hourly","$0.2136 hourly","$0.1568 hourly","$0.128000 hourly","$0.128000 hourly","$0.2786 hourly","$0.1468 hourly","$0.193000 hourly","$0.193000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T4G Nano","t4g.nano","0.5 GiB","0 units","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2606.0 Mbps","325.75 Mbps","11800.0 IOPS","Yes","4","2","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0042 hourly","$0.0026 hourly","$0.001600 hourly","$0.002700 hourly","unavailable","unavailable","$0.061600 hourly","$0.062700 hourly","$0.0042 hourly","$0.0066 hourly","$0.001600 hourly","$0.002700 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"IS4GEN Extra Large","is4gen.xlarge","24.0 GiB","0 units","4 vCPUs","6.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3750 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$0.5763 hourly","$0.39306 hourly","$0.172900 hourly","$0.172900 hourly","$0.6713 hourly","$0.48506 hourly","$0.232900 hourly","$0.232900 hourly","$0.7013 hourly","$0.44306 hourly","$0.297900 hourly","$0.297900 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"U-24TB1 Metal","u-24tb1.metal","24576.0 GiB","0 units","448 vCPUs","54.86 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8280L (Cascade Lake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","38000.0 Mbps","4750.0 Mbps","160000.0 IOPS","No","750","15","No","Yes","Yes","No","Unknown","No","","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                   5%","1 vCPUs                                                         for a                   1h 12m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0058 hourly","$0.0036 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0158 hourly","$0.0126 hourly","unavailable","unavailable","$0.0081 hourly","$0.0059 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","0 units","12 vCPUs","1.33 GiB/vCPU","0","None","0 GiB","0","0","0 units","Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine","3.2 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","NA","N/A","0 Mbps","0 IOPS","No","N/A","N/A","Yes","Yes","Yes","No","Unknown","No","","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","Base performance:                   60%","2 vCPUs                                                         for a                   7h 12m                   burst","4.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2780.0 Mbps","347.5 Mbps","15700.0 IOPS","Yes","36","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0752 hourly","$0.0471 hourly","$0.024300 hourly","$0.027000 hourly","$0.1352 hourly","$0.1071 hourly","$0.084300 hourly","$0.087000 hourly","$0.1382 hourly","$0.0721 hourly","$0.087300 hourly","$0.090000 hourly","$0.1028 hourly","$0.0747 hourly","$0.050200 hourly","$0.050200 hourly","$0.1704 hourly","$0.1423 hourly","unavailable","unavailable","unavailable","unavailable","$0.1428 hourly","$0.1147 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"I2 Large","i2.large","15.0 GiB","7 units","2 vCPUs","7.50 GiB/vCPU","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","N/A","N/A","Yes","No","Yes","No","HVM","No","","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC1 Metal","mac1.metal","32.0 GiB","0 units","12 vCPUs","2.67 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Core i7-8700B CPU","3.2 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","8000.0 Mbps","1000.0 Mbps","55000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az4, use1-az6","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","39 units","8 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","4.875 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","200 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.384 hourly","$0.242 hourly","$0.129500 hourly","$0.205300 hourly","$0.549 hourly","$0.404 hourly","$0.259500 hourly","$0.335300 hourly","$0.484 hourly","$0.275 hourly","$0.229500 hourly","$0.305300 hourly","$0.752 hourly","$0.61 hourly","$0.497500 hourly","$0.497500 hourly","$0.887 hourly","$0.745 hourly","$1.712 hourly","$1.57 hourly","$3.752 hourly","$3.61 hourly","$0.519 hourly","$0.377 hourly","$1.344 hourly","$1.202 hourly","$3.384 hourly","$3.242 hourly","0","$0.096 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","20 units","4 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","5 units","Intel Xeon Platinum 8124M","3 GHz","Yes","Yes","Yes","Yes","100 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.192 hourly","$0.121 hourly","$0.070200 hourly","$0.090300 hourly","$0.287 hourly","$0.213 hourly","$0.130200 hourly","$0.150300 hourly","$0.292 hourly","$0.154 hourly","$0.170200 hourly","$0.190300 hourly","$0.376 hourly","$0.305 hourly","$0.248800 hourly","$0.248800 hourly","$0.444 hourly","$0.373 hourly","$0.856 hourly","$0.785 hourly","$1.876 hourly","$1.805 hourly","$0.26 hourly","$0.189 hourly","$0.672 hourly","$0.601 hourly","$1.692 hourly","$1.621 hourly","0","$0.048 hourly"
"C5 High-CPU Metal","c5.metal","192.0 GiB","375 units","96 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","3.906 units","Intel Xeon Platinum 8275L","3 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.08 hourly","$2.57 hourly","$1.554600 hourly","$1.846000 hourly","$4.245 hourly","$2.732 hourly","$1.684600 hourly","$1.976000 hourly","$4.18 hourly","$2.603 hourly","$1.654600 hourly","$1.946000 hourly","$8.496 hourly","$6.986 hourly","$5.970600 hourly","$5.970600 hourly","$10.118 hourly","$8.609 hourly","$20.016 hourly","$18.506 hourly","$44.496 hourly","$42.986 hourly","$5.702 hourly","$4.193 hourly","$15.6 hourly","$14.09 hourly","$40.08 hourly","$38.57 hourly","0","unavailable"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","0 units","48 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","335520 GB                 (24 * 13980 GB HDD)","Yes","N/A","64-bit","75 Gigabit","7000.0 Mbps","875.0 Mbps","40000.0 IOPS","Yes","90","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$6.30864 hourly","$3.97444 hourly","$1.892600 hourly","$2.358600 hourly","$6.47364 hourly","$4.13644 hourly","$2.022600 hourly","$2.488600 hourly","$6.45864 hourly","$4.03444 hourly","$2.042600 hourly","$2.508600 hourly","$8.51664 hourly","$6.18244 hourly","$4.100600 hourly","$4.590500 hourly","$9.32784 hourly","$6.99364 hourly","$14.27664 hourly","$11.94244 hourly","$26.51664 hourly","$24.18244 hourly","$7.11984 hourly","$4.78564 hourly","$12.06864 hourly","$9.73444 hourly","$24.30864 hourly","$21.97444 hourly","0","unavailable"
